Type,Title,Organization,Status,Availability or Year,Geography,Covered States,Coverage Note,Coverage Source URL,Community,Community Type,Best For,Project Stage,Type of Help,Topics,Summary,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Funding,TakeCharge WV Go Electric Program,Appalachian Power,Open when checked,Ongoing current rebate program,West Virginia,,,,,,Small commercial Appalachian Power WV customers with peak demand of 200 kW or less,Mixed,Rebate,"small business electrification, EV charging, outdoor equipment","Helps small rural businesses adopt e-bikes, EV charging, portable power, and electric maintenance equipment.",$10-$300 per listed item; incentive cannot exceed equipment cost,Purchase required,https://takechargewv.com/programs/for-your-business/go-electric,2026-06-09,RERC-FND-0610
Funding,Claude Worthington Benedum Foundation Grants,Benedum Foundation,Recurring,Rolling inquiry and board cycles,West Virginia,,,,,,Nonprofits; public charities; eligible public partners,Mixed,Grant,community development; economic development; education; health,Major Appalachian funder for community capacity and rural economic development.,Varies,No standard match listed,https://benedum.org/grants,2026-06-09,RERC-FND-0603
Funding,Claude Worthington Benedum Foundation Economic Development Grants,Claude Worthington Benedum Foundation,Open when checked,Rolling foundation inquiry process; verify with program staff,West Virginia,,,,,,Nonprofits and public-purpose partners,Mixed,Grant,"economic development, community development, entrepreneurship","Major WV philanthropy for community and economic development, including rural capacity and entrepreneurship work.",Varies by proposal,Not stated,https://benedum.org/what-we-fund,2026-06-09,RERC-FND-0602
Funding,Snowshoe Foundation Grants,Snowshoe Foundation,Recurring,Recurring grant and scholarship programs; verify current cycle,West Virginia,,,,,,Local community-based organizations,Construction,Grant,"community benefit, central WV nonprofits, recreation-adjacent quality of life",Regional foundation tied to a major outdoor-tourism area; useful for community amenities and nonprofit support near recreation assets.,Varies,Not stated,https://snowshoefoundation.org/,2026-06-09,RERC-FND-0609
Funding,Community Development Block Grant,WV Community Advancement and Development,Recurring,Annual state CDBG cycle,West Virginia,,,,,,Units of local government,Mixed,Grant,water; sewer; facilities; downtown; planning,Supports infrastructure that rural recreation destinations need to host visitors.,Varies,Varies by activity,https://wvcad.org/infrastructure/community-development-block-grant,2026-06-09,RERC-FND-0604
Funding,Land and Water Conservation Fund,WV Community Advancement and Development,Recurring,Annual or periodic CAD cycle,West Virginia,,,,,,Local governments and public recreation providers,Construction,Grant,parks; outdoor recreation; public access,Funds parks and recreation facilities in small communities.,Varies,50 percent reimbursement,https://commerce.wv.gov/boards-commissions/land-and-water-conservation-fund,2026-06-09,RERC-FND-0606
Funding,Outdoor Heritage Conservation Fund,West Virginia Department of Commerce,Open when checked,Page says grant applications are being accepted; verify current deadline,West Virginia,,,,,,Eligible conservation recipients and land-protection partners,Mixed,Grant,"land conservation, hunting, fishing, outdoor recreation","Protects lands that support fishing, hunting, trails, nature tourism, and rural outdoor access.",Varies by grant round,Not stated on page,https://commerce.wv.gov/boards-commissions/outdoor-heritage-conservation-fund,2026-06-09,RERC-FND-0607
Funding,Tourism Cooperative Advertising Program,West Virginia Department of Tourism,Open when checked,Year-round opportunities and campaign cycles,West Virginia,,,,,,Tourism businesses; DMOs; local partners,Mixed,Grant,tourism marketing; media buys; destination campaigns,Helps rural recreation destinations reach visitors without building full campaigns alone.,Discounted or leveraged advertising; direct grant amounts vary,Cost share or buy-in varies,https://wvtourism.com/information-and-press/tourism-partners/industry-resources/cooperative-advertising-program,2026-06-09,RERC-FND-0611
Funding,Recreational Trails Program,West Virginia Division of Highways,Open when checked,"Applications close August 13, 2026 at noon ET; annual online cycle",West Virginia,,,,,,Local governments; nonprofits; public agencies,Mixed,Grant,trails; trailheads; maintenance; access,Direct funding for trails central to West Virginia outdoor recreation economies.,"Up to $300,000 federal-aid portion",None for FFY 2026; typically 20 percent non-federal,https://dohgrants.wv.gov/home.html,2026-08-07,RERC-FND-0608
Funding,WVEDA Direct Lending Program,West Virginia Economic Development Authority,Open when checked,Rolling loan review,West Virginia,,,,,,Existing or prospective qualifying West Virginia businesses,Mixed,Loan,"business expansion, fixed assets, job creation","Provides gap financing for outdoor manufacturers, hospitality, logistics, and recreation-serving businesses with fixed asset needs.","$50,000-$15M",Borrower equity generally 10%-30% depending asset type,https://eda.wv.gov/programs/direct-loans,2026-06-09,RERC-FND-0612
Funding,Historic Rehabilitation Tax Credit,West Virginia State Historic Preservation Office and Tax Division,Open when checked,Ongoing statutory credit; application through SHPO GOapply for commercial projects,West Virginia,,,,,,Owners of certified historic structures meeting tax and SHPO requirements,Mixed,Rebate,"historic buildings, heritage tourism, downtown reuse","Can make historic lodging, downtown storefront, museum, depot, and heritage-tourism reuse projects financially feasible.",25% of qualified rehabilitation expenditures for certified historic structures; residential credit also exists,Private rehabilitation investment required,https://wvculture.org/agencies/state-historic-preservation-office-shpo/tax-credits,2026-06-09,RERC-FND-0605
Funding,Focus on Energy Business Incentives,Focus on Energy,Open when checked,2026 incentive year,Wisconsin,,,,,,Businesses; local governments; schools; nonprofits; farms,Implementation,Rebate,energy efficiency; solar; HVAC; commercial facilities,"Reduces operating costs for visitor centers, outfitters, lodges, parks, and public facilities.",Varies by measure,Incentive-based; no standard match,https://focusonenergy.com/business,2026-06-09,RERC-FND-0615
Funding,Focus on Energy Business Rebates,Focus on Energy,Open when checked,"Products purchased and installed January 1-December 31, 2026",Wisconsin,,,,,,Wisconsin businesses and industries served by participating utilities,Mixed,Rebate,"energy efficiency, HVAC, lighting, foodservice, refrigeration, agribusiness","Helps rural lodging, restaurants, outfitters, farms, and facilities reduce operating costs.",Varies by catalog; 2026 business rebates available,Purchase and installation required,https://focusonenergy.com/business/rebates,2026-06-09,RERC-FND-0616
Funding,Norma and Stanley DeBoer Quiet Trails Fund,Natural Resources Foundation of Wisconsin,Recurring,March 1 annual deadline; 2026 recipients posted,Wisconsin,,,,,,Eligible Wisconsin conservation and community partners,Mixed,Grant,"trails, accessibility, signage, habitat near trails","Directly funds walking, hiking, and skiing trail creation, repair, signage, and access improvements.","$500-$1,000",Not stated,https://www.wisconservation.org/grants/quiet-trails-fund,2026-06-09,RERC-FND-0619
Funding,Energy Innovation Grant Program,Public Service Commission of Wisconsin Office of Energy Innovation,Open when checked,"2026 applications open as of April 22, 2026; check PSC RFP deadline",Wisconsin,,,,,,"Businesses, schools, local and tribal governments, nonprofits, and other eligible entities",Mixed,Grant,"energy efficiency, renewable energy, resilience, energy planning","Reduces energy costs and improves resilience for rural facilities, visitor assets, and community hubs.",2026 round has $10M available,Match rules in RFP,https://content.govdelivery.com/accounts/WIPSC/bulletins/413eb37,2026-06-09,RERC-FND-0614
Funding,Knowles-Nelson Stewardship Local Assistance Grants,Wisconsin DNR,Available,"2026 applications due May 1, 2026",Wisconsin,,,,,,Local governments; tribes; eligible nonprofits for some categories,Mixed,Grant,local parks; trails; land acquisition; recreation development,Primary Wisconsin funding source for parks and trail assets.,Varies,None,https://dnr.wisconsin.gov/topic/Stewardship/ApplyLUG,2026-06-09,RERC-FND-0658
Funding,Land and Water Conservation Fund,Wisconsin DNR,Available,Annual DNR local assistance cycle,Wisconsin,,,,,,Local governments and public recreation providers,Construction,Grant,parks; outdoor recreation; public access,Supports rural recreation facilities and access points.,Varies,None,https://dnr.wisconsin.gov/aid/LWCF.html,2026-06-09,RERC-FND-0659
Funding,Recreational Trails Program,Wisconsin DNR,Recurring,"Starting 2026, applications due Mar. 1 annually",Wisconsin,,,,,,Local governments; tribes; incorporated organizations,Mixed,Grant,trails; maintenance; trail equipment; access,Direct trail funding for rural recreation destinations.,Varies,Match required per DNR guidance,https://dnr.wisconsin.gov/aid/RTP.html,2026-06-09,RERC-FND-0620
Funding,Wisconsin Coastal Management Program Grants,Wisconsin DOA Coastal Management Program,Cycle closed,2026-2027 cycle closed; next RFP expected Aug. 2026,Wisconsin,,,,,,Local governments; tribes; nonprofits; universities,Mixed,Grant,coastal access; harbor; trails; waterfront planning,"Strong fit for lakefront recreation, harbor towns, and coastal trails.",Varies; annual pool about $1.3 million,Usually 50 percent,https://doa.wi.gov/Pages/LocalGovtsGrants/CoastalGrants.aspx,2026-06-09,RERC-FND-0624
Funding,Transportation Alternatives Program,Wisconsin DOT,Recurring,"2026-2030 solicitation deadline passed Aug. 11, 2025; recurring",Wisconsin,,,,,,Local governments; regional bodies; tribes,Construction,Grant,bike-ped; safe routes; trails; streetscape,"Funds trail connections, walkability, and gateway circulation.",Varies,Usually 20 percent local match,https://wisconsindot.gov/Pages/doing-bus/local-gov/astnce-pgms/aid/tap.aspx,2026-06-09,RERC-FND-0622
